wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
241.9,0.05774773324362159,7.507205009460449E-4,1.0
242.0,0.0599180833442688,7.789350347593427E-4,1.0
242.1,0.061779663655833005,8.031356264837086E-4,1.0
242.2,0.06331707864848256,8.231219835579395E-4,1.0
242.3,0.06454238698834776,8.390510338358581E-4,1.0
242.4,0.06548196388552308,8.512655040249228E-4,1.0
242.5,0.06616230443742156,8.601099252700806E-4,1.0
242.6,0.06659886411753417,8.657852304168046E-4,1.0
242.7,0.06679313152673363,8.683106862008572E-4,1.0
242.8,0.0667373539517498,8.675855933688581E-4,1.0
242.9,0.06642714551484347,8.635528502054513E-4,1.0
243.0,0.06587581370838046,8.563855662941933E-4,1.0
243.1,0.06512539901875378,8.466301369480789E-4,1.0
243.2,0.06424944232532144,8.352427394129336E-4,1.0
243.3,0.06334633115422368,8.235023124143481E-4,1.0
243.4,0.06252359443964482,8.128066547214985E-4,1.0
243.5,0.061877531670259237,8.044078713282943E-4,1.0
243.6,0.06147349142531991,7.991553866304457E-4,1.0
243.7,0.06133118517812848,7.97305372543633E-4,1.0
243.8,0.061418982657791374,7.984467083588243E-4,1.0
243.9,0.061657978027442696,8.015536586754024E-4,1.0
244.0,0.061935776925884485,8.051650947891176E-4,1.0
244.1,0.062125628485515116,8.076331578195095E-4,1.0
244.2,0.06210883427029967,8.074147626757622E-4,1.0
